credit agricole,urksocbank,ukrsibbank,sense bank,vtb bank,Procredit bank,pumb,raifizen bank aval,Prominvestbank,otp bank,praveks bank,oschad bank,ukreximbank,Ukrgazbank,Vseukrainsky bank for development,Sberbank,Kredo bank,VAB bank,National investments,Industrialbank,Mega bank,Delta bank,brolbuisnesbank,UKRBuisness bank,Active bank ,Fidobank,UPB,Nadra,BTA bank,Forum Bank ,Imbeks bank,Privatbank,Platinum bank,Idea bank,Diamond bank,Universal Bank,finance initiative,Kyivskaya rus ,Taskombank,Pivdenny,finance and credit,Abank,Chreschatyk,Terra bank,Pivdencombank,Ukrinbank,forward bank,Zlatobank,Akta bank,Gorodskoy commerce bank,Eurogasbank,Buisness bank,Express bank,Demark,Bank credit Dnepr,MTB bank 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7,4.6,4.1,4.2,4.3,1.1,4.5,4.7,4.6,3.8,3,4.9,4.9,4,2.6,4.4,2.2,3.9,1.5,1.8,2.4,4.8,3.8,2.5,1.7,2.7,2,4.3,3,3.5,3.4,5,2.5,1.4,1.9,3.3,3.5,3.2,1.4,3.6,4.1,1.1,3.3,2.3,2.8,2.7,1.6,2.9,2.2,2.1,1.9,1.2,1.3,1,3.1,1.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9%,2.83%,2.32%,2.1%,1.71%,0.31%,2.68%,3.64%,1.87%,1.29%,0.55%,8.4%,3.88%,1.29%,0.31%,3.1%,0.45%,2.16%,0.31%,0.28%,0.43%,5.54%,1.57%,0.47%,0.36%,0.24%,0.32%,1.28%,0.29%,1.19%,1.04%,23.5%,0.79%,0.32%,0.36%,0.63%,0.9%,0.88%,0.28%,1.02%,2.41%,0.35%,0.79%,0.42%,0.57%,0.59%,0.41%,0.59%,0.53%,0.45%,0.37%,0.23%,0.24%,0.23%,0.82%,0.27%
4,5,5,5,4,2,5,5,4,4,3,5,5,4,2,5,2,5,2,1,2,5,4,2,2,1,2,4,1,4,4,5,3,2,2,3,4,3,1,4,5,2,3,2,3,3,2,3,3,2,2,1,1,1,3,1
-143.71 млн грн,-79.77 млн грн,-623.92 млн грн,-498.52 млн грн,-151.92 млн грн,14.86 млн грн,-43.82 млн грн,-1115.73 млн грн,63.33 млн грн,-148.22 млн грн,-155.4 млн грн,1184.57 млн грн,458.53 млн грн,111.84 млн грн,-5.24 млн грн,1280.91 млн грн,36.63 млн грн,1164.56 млн грн,110.39 млн грн,6.34 млн грн,55.82 млн грн,2369.67 млн грн,-903.01 млн грн,158.17 млн грн,174.02 млн грн,229.37 млн грн,95.68 млн грн,984.46 млн грн,7.75 млн грн,385.05 млн грн,453.44 млн грн,5640.92 млн грн,500.53 млн грн,-113.8 млн грн,60.36 млн грн,89.98 млн грн,740.64 млн грн,165.99 млн грн,73.87 млн грн,188.9 млн грн,676.26 млн грн,240.84 млн грн,-124.31 млн грн,163.79 млн грн,57.07 млн грн,89.17 млн грн,-8.02 млн грн,201.48 млн грн,-20.33 млн грн,241.96 млн грн,168.13 млн грн,-8.22 млн грн,-170.81 млн грн,-27 млн грн,-325.47 млн грн,8.12 млн грн
1,2,1,1,1,3,2,1,3,1,1,5,5,4,2,5,3,5,4,3,3,5,1,4,4,4,3,5,3,4,5,5,5,1,3,3,5,4,3,4,5,4,1,4,3,3,2,4,2,4,4,2,1,2,1,3
-3.58%,-0.65%,-5.88%,-5.23%,-2.03%,1.12%,-0.38%,-6.65%,0.8%,-2.61%,-6.17%,3.39%,2.83%,2.06%,-0.39%,10.63%,1.91%,14.38%,8.93%,0.54%,3.14%,11.06%,-11.8%,8.52%,12.84%,28.99%,7.53%,21.78%,0.63%,8.14%,11.3%,5.92%,17.22%,-7.56%,4.05%,3.44%,23.63%,4.61%,6.61%,4.53%,6.99%,19.22%,-3.55%,9.94%,2.37%,3.62%,-0.45%,8.68%,-0.89%,14.47%,11.95%,-0.81%,-14.18%,-2.62%,-8.45%,0.7%
2,2,2,2,2,3,2,2,3,2,2,3,3,3,2,5,3,5,4,3,3,5,1,4,5,5,4,5,3,4,5,4,5,2,4,3,5,4,4,4,4,5,2,4,3,3,2,4,2,5,5,2,1,2,2,3
