ukreximbank,credit agricole,sense bank,Procredit bank,otp bank,urksocbank,ukrsibbank,raifizen bank aval,oschad bank,Privatbank,Kredo bank,Ukrgazbank,Prominvestbank,Ukrinbank,pumb,Pivdenny,vtb bank,Fidobank,Chreschatyk,BTA bank,UPB,Sberbank,National investments,VAB bank,Urk Buisness Bank,Bank credit Dnepr,praveks bank,Taskombank,Nadra,MTB bank ,Mega bank,finance and credit,Delta bank,Eurogasbank,Platinum bank,forward bank,Imbeks bank,Finbank,Idea bank,finance initiative,Active bank ,Vseukr bank of development,Universal Bank,Gorodskoy commerce bank,Industrialbank,Zlatobank,Demark,Akta bank,Vseukrainsky bank for development,Abank,Diamond bank,Kyivskaya rus ,Terra bank,Bank National credit,UKRBuisness bank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.9,3.8,4.3,1.4,3.8,4.6,4.1,4.6,4.9,5,2.4,4,4.7,3.1,4.4,3.6,4.2,3.5,3.4,2.8,1.9,4.5,2.1,3.9,1.5,3,2.2,1.6,4.3,1.2,2.7,4.1,4.8,1.7,2.6,1.9,3.5,1.8,1.4,3.7,2,1.7,3.2,2.3,1.3,3.3,1.1,2.7,3,1,2.5,3.3,2.2,1.1,2.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.11%,0.91%,2.08%,0.33%,1.34%,2.55%,1.85%,3.03%,7.49%,24.42%,0.4%,1.3%,1.78%,0.69%,2.6%,1%,1.27%,0.49%,0.8%,0.24%,0.34%,3.28%,0.36%,2.55%,0.31%,0.76%,0.47%,0.32%,1.49%,0.24%,0.39%,2.92%,5.97%,0.4%,0.97%,0.28%,1.16%,0.25%,0.32%,1.13%,0.4%,0.23%,0.56%,0.49%,0.24%,0.69%,0.23%,0.52%,0.46%,0.33%,0.37%,0.92%,0.43%,0.23%,0.33%
5,4,5,2,4,5,4,5,5,5,2,4,4,3,5,4,4,2,3,1,2,5,2,5,2,3,2,2,4,1,2,5,5,2,4,1,4,1,2,4,2,1,3,2,1,3,1,3,2,2,2,4,2,1,2
1044.69 млн грн,195.88 млн грн,12.59 млн грн,149.87 млн грн,571.14 млн грн,-595.28 млн грн,-937.65 млн грн,-1142.29 млн грн,-2525.93 млн грн,2121.43 млн грн,-61.64 млн грн,65.59 млн грн,-169.47 млн грн,376.23 млн грн,433.65 млн грн,206.37 млн грн,-1399.14 млн грн,228.58 млн грн,44.64 млн грн,-182.07 млн грн,83.42 млн грн,665.09 млн грн,218.08 млн грн,902.38 млн грн,427.76 млн грн,129.57 млн грн,-32.57 млн грн,229.37 млн грн,119.18 млн грн,-69.35 млн грн,-125.57 млн грн,1078.05 млн грн,461.51 млн грн,186.5 млн грн,155.99 млн грн,-485.35 млн грн,335.05 млн грн,48.87 млн грн,-4.18 млн грн,445.66 млн грн,174.24 млн грн,171.19 млн грн,-135.11 млн грн,77.83 млн грн,-35.45 млн грн,139.73 млн грн,6.31 млн грн,-454.82 млн грн,490.22 млн грн,-148.65 млн грн,-2.17 млн грн,74.29 млн грн,10.49 млн грн,-37.35 млн грн,-543.26 млн грн
5,4,3,3,5,1,1,1,1,5,2,3,1,4,5,4,1,4,3,1,3,5,4,5,5,3,2,4,3,2,2,5,5,4,4,1,4,3,2,5,4,4,1,3,2,3,3,1,5,1,2,3,3,2,1
6.05%,5.09%,0.14%,11.18%,10.56%,-4.98%,-10.23%,-7.81%,-7.03%,1.99%,-3.32%,1.15%,-2.09%,13.93%,3.88%,4.87%,-19.81%,11.62%,1.27%,-14.72%,5.78%,4.77%,15.75%,8.64%,44.56%,4%,-1.52%,19.27%,1.82%,-6.05%,-6.74%,9.04%,1.77%,11.65%,3.76%,-27.93%,6.93%,4.55%,-0.29%,9.72%,10.98%,19.55%,-5.11%,3.66%,-3.26%,4.78%,0.61%,-16.3%,31.41%,-9.07%,-0.13%,1.85%,0.55%,-3.48%,-27.02%
4,4,3,5,5,2,1,2,2,3,2,3,2,5,3,3,1,5,3,1,4,3,5,4,5,3,2,5,3,2,2,4,3,5,3,1,4,3,2,4,5,5,2,3,2,3,3,1,5,2,2,3,3,2,1
с 1992-01-23,с 1993-02-10,с 1993-03-24,с 2000-12-28,с 1998-03-02,с 1991-09-27,с 1991-10-28,с 1992-03-27,с 1991-12-31,с 1992-03-19,с 1992-03-31,с 1993-07-21,с 1992-08-26,с 1991-10-02,с 1991-12-23,с 1993-12-03,с 1992-11-11,с 1991-10-02,с 1993-05-19,с 1992-12-10,с 1992-01-30,с 2001-06-15,с 1993-11-05,с 1992-07-02,с 2002-10-17,с 1993-07-07,с 1992-12-29,с 1991-10-21,с 1993-10-26,с 1993-11-05,с 1991-10-28,с 1991-10-30,с 2006-02-14,с 2007-12-27,с 2005-01-13,с 2006-02-28,с 1994-03-29,с 1993-12-24,с 1991-10-22,с 2005-01-19,с 2002-08-06,с 2002-10-17,с 1994-01-20,с 2006-05-05,с 1991-10-16,с 2008-05-16,с 1992-07-10,с 2008-04-23,с 2009-04-30,с 1992-10-30,с 1993-11-17,с 1996-05-30,с 1996-10-18,с 1996-01-01,с 1993-05-18
5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,3,5,5,5,5,3,3,3,3,5,5,5,3,4,4,4,3,5,2,5,2,2,5,5,4,4,4,5
